noun_count,verb_count,adj_count,adv_count,pronoun_count,modal_count,complexity_verb_ratio,adj_adv_ratio,avg_sentence_length,avg_syllables_per_word,flesch_reading_ease,tfidf_cosine_similarity,sbert_prompt_adherence_similarity,mean_tfidf_score,std_tfidf_score,unique_word_ratio,window_repeat_count,num_grammatical_errors,lt_error_count,avg_dependency_distance,contrast_marker_ratio,addition_marker_ratio,cause_effect_marker_ratio,avg_adjacent_sentence_similarity,score,Task_Achievement,Cohesion,Vocabulary,Grammar
101,51,24,14,10,8,3.1875,0.12140575079872204,19.4,1.7,43.32,0.4157051644004944,0.7822262,0.053835873796646914,0.05789385712276827,0.5143769968051118,78,22,21,2.3333333333333335,0.0625,0.125,0.0625,0.37790244817733765,6.0,6.0,6.0,5.0,5.0
96,64,20,19,20,9,2.909090909090909,0.12302839116719243,14.4,1.7,48.4,0.3767337827239765,0.61615264,0.054716446389305076,0.06023808638077488,0.47634069400630913,73,34,30,2.176271186440678,0.13636363636363635,0.13636363636363635,0.045454545454545456,0.48237594962120056,4.0,3.5,3.0,3.0,3.0
88,49,21,20,18,8,3.2666666666666666,0.12424242424242424,21.9,1.6,49.25,0.4309261349062083,0.79090375,0.049450900278951625,0.058921712678050964,0.5121212121212121,111,25,18,2.5142857142857142,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.47436755895614624,4.5,4.5,4.0,3.5,4.0
84,48,32,11,9,11,3.4285714285714284,0.14333333333333334,21.6,1.6,49.55,0.45190047364025776,0.48580194,0.05185111171805672,0.0652373103219779,0.48333333333333334,118,21,19,2.625,0.14285714285714285,0.14285714285714285,0.0,0.3950398564338684,8.5,8.0,8.5,7.5,8.0
65,50,30,12,9,9,4.166666666666667,0.15671641791044777,22.4,1.7,40.28,0.4166434673170352,0.59446764,0.05277699408292109,0.06879960674344378,0.5,106,19,20,2.7315175097276265,0.0,0.08333333333333333,0.16666666666666666,0.5071191787719727,7.0,7.5,8.0,7.0,6.5
73,58,20,17,15,8,4.461538461538462,0.1417624521072797,20.2,1.7,42.51,0.3391878700410677,0.54029024,0.0537045848572262,0.05228570639670921,0.6819923371647509,55,19,21,2.896414342629482,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.3464977443218231,7.0,7.5,7.0,7.0,6.5
74,56,20,17,17,8,4.3076923076923075,0.14015151515151514,20.4,1.7,42.31,0.34718964288507,0.51820105,0.053823366368727706,0.05216342359189624,0.6742424242424242,54,18,21,2.8858267716535435,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.3476237952709198,6.0,6.0,5.0,6.0,5.0
82,51,23,20,15,9,3.923076923076923,0.1423841059602649,23.3,1.7,39.37,0.4139311264808626,0.55540425,0.05295370423859247,0.05579484717001458,0.5629139072847682,71,20,17,2.7474402730375425,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.45207008719444275,6.5,6.0,6.0,6.0,6.0
112,60,37,14,8,3,4.615384615384615,0.13385826771653545,29.5,1.7,33.07,0.4053730329171605,0.47818768,0.040950046795071894,0.0653871135611779,0.4435695538057743,183,17,16,2.543010752688172,0.0,0.15384615384615385,0.07692307692307693,0.4679427146911621,7.0,7.0,6.0,6.0,7.0
91,50,52,15,14,8,4.166666666666667,0.20615384615384616,20.1,1.7,42.61,0.3749182099466431,0.58183825,0.054777444342391624,0.051160620787927054,0.5476923076923077,97,23,17,2.8875,0.16666666666666666,0.25,0.08333333333333333,0.30691471695899963,5.5,6.0,5.5,5.0,5.0
85,63,31,29,14,6,4.2,0.1724137931034483,23.2,1.6,47.93,0.4038032468306279,0.6324492,0.04316858871751555,0.054904660354343264,0.5890804597701149,103,28,19,2.3875739644970415,0.0,0.13333333333333333,0.13333333333333333,0.29480987787246704,2.5,3.0,2.5,2.5,2.0
83,49,23,8,5,11,3.0625,0.11313868613138686,17.0,1.5,62.68,0.4039213195297243,0.6326621,0.05517620566033217,0.060555724129944,0.551094890510949,67,21,27,2.1705426356589146,0.0,0.0625,0.25,0.3613094091415405,4.5,4.5,4.5,4.0,4.0
93,49,33,17,7,1,2.8823529411764706,0.17064846416382254,17.2,1.7,45.56,0.40914288027856105,0.628516,0.047749613191142445,0.06363244741597565,0.5392491467576792,84,21,39,2.241007194244604,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.40559569001197815,4.0,4.0,3.5,3.0,3.5
99,64,41,13,10,5,5.333333333333333,0.15168539325842698,29.6,1.6,41.43,0.3376871663207824,0.6070431,0.04511112663952287,0.05657374256272752,0.5421348314606742,148,15,15,2.968208092485549,0.0,0.4166666666666667,0.16666666666666666,0.4011283218860626,6.0,5.0,4.0,5.0,4.0
106,53,44,18,11,2,2.9444444444444446,0.17563739376770537,19.5,1.6,51.68,0.40967957849123593,0.6941612,0.04253715836566509,0.05948263394522834,0.5325779036827195,100,23,21,2.301492537313433,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.3960702121257782,5.0,5.0,5.0,5.0,5.0
55,32,9,8,8,9,4.571428571428571,0.08854166666666667,27.3,1.6,43.77,0.11972193559955999,0.18809803,0.08046453251441252,0.06900300039430766,0.46875,107,15,8,2.8378378378378377,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5246207118034363,1.0,2.0,1.0,1.0,1.0
65,58,34,10,4,11,4.142857142857143,0.16,19.6,1.6,51.58,0.2553914541533334,0.6693387,0.05709073472637364,0.06613800567497012,0.48,95,27,13,2.3831417624521074,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.46476227045059204,2.5,3.0,2.0,2.0,1.0
80,46,38,19,17,9,2.0,0.1972318339100346,12.0,1.7,50.84,0.2730002310090931,0.6078701,0.05271761978187867,0.057284017187513435,0.5778546712802768,61,30,27,2.0149812734082397,0.0,0.21739130434782608,0.08695652173913043,0.324982225894928,7.5,7.5,7.0,7.0,7.0
84,46,31,11,18,11,2.4210526315789473,0.14383561643835616,15.3,1.5,64.41,0.32253426350042025,0.7273158,0.056610809081687107,0.0551834784615538,0.5547945205479452,73,26,22,2.419928825622776,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.3446325659751892,7.0,6.5,6.5,6.0,6.0
66,47,16,18,11,6,4.7,0.1259259259259259,27.0,1.5,52.53,0.17031289719505602,0.6393703,0.04572280272304182,0.0700173714456405,0.5370370370370371,118,20,9,2.2576923076923077,0.0,0.2,0.2,0.2976371943950653,7.0,7.0,7.0,7.0,7.0
91,56,40,16,7,7,4.3076923076923075,0.18360655737704917,23.5,1.7,39.16,0.3734834567220694,0.64241624,0.04908138958156865,0.061661960080473345,0.5311475409836065,117,24,13,2.4334470989761092,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.4847894608974457,7.0,7.0,6.5,6.5,6.5
107,61,50,20,10,8,3.588235294117647,0.18087855297157623,21.6,1.7,41.09,0.28118892509932547,0.6806873,0.04312846481068356,0.05515338890210968,0.5322997416020672,108,26,20,2.4197860962566846,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.4213487505912781,6.5,6.5,6.5,6.0,6.0
61,53,38,8,17,11,3.533333333333333,0.1776061776061776,17.3,1.7,45.46,0.35996856150433065,0.61860657,0.05909593808622916,0.054399292320161455,0.6061776061776062,51,25,17,2.3333333333333335,0.0,0.2,0.13333333333333333,0.35366907715797424,8.0,8.0,7.0,8.0,8.0
91,52,51,19,8,7,3.25,0.2153846153846154,20.3,1.7,42.41,0.3291619277497071,0.6271854,0.05290872243059579,0.05399030287975687,0.5415384615384615,77,20,24,2.5063291139240507,0.0625,0.0625,0.1875,0.44228559732437134,6.5,7.0,6.5,6.0,6.0
62,49,28,11,13,5,3.5,0.15354330708661418,18.0,1.7,44.75,0.251853477544729,0.59906626,0.05850017737251431,0.0618393568771423,0.5511811023622047,60,25,21,2.2041666666666666,0.0,0.21428571428571427,0.07142857142857142,0.3368903398513794,7.5,8.0,8.0,7.0,7.0
120,47,37,20,9,7,2.611111111111111,0.15789473684210525,20.1,1.6,51.07,0.36206969539161216,0.6055862,0.044383911906142,0.05962323575889574,0.5041551246537396,113,24,25,2.1652173913043478,0.0,0.1111111111111111,0.1111111111111111,0.44472846388816833,5.5,6.0,6.0,5.5,5.5
92,41,40,8,14,13,2.7333333333333334,0.15584415584415584,20.5,1.6,50.67,0.35434930192999864,0.6544827,0.0521746231755073,0.05621531497439366,0.5584415584415584,64,29,28,2.3890784982935154,0.06666666666666667,0.2,0.13333333333333333,0.438753604888916,6.5,6.5,7.0,6.0,6.5
91,41,39,7,14,13,2.7333333333333334,0.1513157894736842,20.3,1.6,50.87,0.3526703979129745,0.6722331,0.05340720954713681,0.05567810090842872,0.5592105263157895,59,29,28,2.387543252595156,0.06666666666666667,0.2,0.06666666666666667,0.42585042119026184,6.5,6.0,6.5,6.0,6.0
112,51,39,20,14,3,2.8333333333333335,0.164804469273743,19.8,1.6,51.38,0.4006597734539765,0.71765476,0.039978455435347705,0.05919260019065261,0.5502793296089385,104,25,22,2.2915451895043732,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.3893139362335205,7.5,7.5,7.0,7.0,7.5
108,70,32,19,34,7,3.0434782608695654,0.13178294573643412,16.9,1.6,54.32,0.3162651734025121,0.59165776,0.045258237518259414,0.05794046377227422,0.48320413436692505,97,34,38,2.0945945945945947,0.043478260869565216,0.08695652173913043,0.17391304347826086,0.36331743001937866,4.0,3.5,3.5,3.5,3.5
89,49,23,22,24,8,3.5,0.14469453376205788,22.2,1.8,32.02,0.2735386651763592,0.6807089,0.05235829353014182,0.05334042817022056,0.5819935691318328,92,22,17,2.301003344481605,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.3628053665161133,6.0,6.0,6.0,6.0,6.0
110,69,39,29,40,10,3.1363636363636362,0.1592505854800937,19.3,1.5,60.35,0.40580167621224167,0.7405857,0.04584039723520623,0.052920872683963005,0.4847775175644028,107,39,29,2.4466019417475726,0.13636363636363635,0.18181818181818182,0.09090909090909091,0.33574455976486206,7.0,7.0,7.0,7.0,7.0
159,103,58,35,29,10,4.681818181818182,0.1657754010695187,25.3,1.6,45.8,0.20807931553237546,0.6387147,0.03599453755555365,0.046396865500061564,0.5187165775401069,151,38,49,2.4375,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.3299572467803955,6.0,6.0,6.0,6.0,6.0
78,69,28,10,30,4,5.3076923076923075,0.12140575079872204,24.1,1.6,47.01,0.2254778586224251,0.69077843,0.04809930526874926,0.05586805385333663,0.5942492012779552,93,17,22,2.568106312292359,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.26823723316192627,5.0,5.0,4.0,4.0,4.0
74,51,34,25,12,12,3.1875,0.20921985815602837,17.6,1.9,28.23,0.25475911012690317,0.67687035,0.05821147187962268,0.046550833474422924,0.6453900709219859,45,25,18,2.400749063670412,0.0625,0.25,0.125,0.370741069316864,7.5,7.5,7.0,7.0,7.0
69,52,25,25,12,6,3.466666666666667,0.1736111111111111,18.7,1.6,52.49,0.1502576054633205,0.599079,0.049414496879698705,0.06202834573182551,0.5590277777777778,96,26,20,2.6350364963503647,0.0,0.26666666666666666,0.2,0.3934367597103119,4.0,3.0,2.5,3.0,2.5
105,63,38,20,14,7,5.7272727272727275,0.15466666666666667,30.8,1.8,23.29,0.16255732996984548,0.5872895,0.04307685020240385,0.05349173869594381,0.5706666666666667,136,23,13,2.6494565217391304,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.41939520835876465,6.5,6.5,6.5,6.5,6.5
75,47,23,23,14,9,3.6153846153846154,0.16606498194945848,21.0,1.6,50.16,0.16312776489863612,0.6956438,0.05763896370354217,0.05556983240426554,0.5631768953068592,77,24,18,2.4150943396226414,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.4003492593765259,7.5,8.0,8.0,7.5,7.5
85,51,32,22,9,6,3.1875,0.17940199335548174,18.6,1.7,44.14,0.25836213386889706,0.7070173,0.052578572803072876,0.05371416196978464,0.5913621262458472,69,28,17,2.3344947735191637,0.0625,0.1875,0.125,0.4565509259700775,6.0,6.0,6.0,6.0,6.0
68,40,27,23,8,8,4.444444444444445,0.1937984496124031,25.5,1.8,28.67,0.20208873155421567,0.67377216,0.059065625864818554,0.054432203192807484,0.6046511627906976,99,21,15,2.541832669322709,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.43791720271110535,5.5,5.5,5.5,5.0,5.0
82,54,31,23,16,7,3.0,0.17034700315457413,17.4,1.8,36.89,0.18686371645356908,0.7202405,0.04609360138614691,0.0575340118534302,0.5867507886435331,82,32,23,2.220735785953177,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.3530100882053375,7.5,7.5,7.0,7.0,7.0
64,38,30,17,8,6,9.5,0.21363636363636362,18.4,1.9,27.42,0.29363634789725984,0.7128765,0.0652288931120199,0.05232779850507449,0.6181818181818182,117,13,19,2.8893805309734515,0.25,0.5,0.5,0.7738929390907288,6.0,6.0,6.5,5.5,5.5
80,51,28,21,10,10,3.642857142857143,0.16838487972508592,20.4,1.7,42.31,0.2185157795714705,0.7209016,0.05396749773358834,0.05449644143934178,0.5910652920962199,56,27,15,2.404332129963899,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.3814079463481903,7.5,7.0,7.0,6.5,6.5
66,55,39,16,12,5,4.583333333333333,0.19784172661870503,23.2,1.6,47.93,0.2383080078188849,0.69397753,0.05777039462601729,0.05469639319740258,0.5683453237410072,72,29,16,2.3653136531365315,0.08333333333333333,0.3333333333333333,0.25,0.3763637840747833,8.0,5.0,6.0,6.0,6.0
70,47,28,19,18,4,3.6153846153846154,0.18076923076923077,20.0,1.7,42.72,0.1523541554042144,0.623469,0.06112490543992034,0.05250954606990323,0.6,65,26,20,2.348,0.23076923076923078,0.23076923076923078,0.0,0.34690332412719727,7.5,6.5,6.0,6.0,6.0
94,52,41,22,15,8,3.0588235294117645,0.19504643962848298,18.5,1.8,35.78,0.19813620342395066,0.66221154,0.05216260879682342,0.052664672580535955,0.5634674922600619,71,29,19,2.400651465798046,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.36764705181121826,7.5,8.0,7.5,7.0,7.0
95,58,26,14,10,8,4.833333333333333,0.13559322033898305,23.7,1.9,22.04,0.1575815751319073,0.47251958,0.054016976962680374,0.05319109546338436,0.5932203389830508,80,25,18,2.9543859649122806,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.35921671986579895,9.0,7.5,8.0,7.0,7.0
83,50,24,10,12,5,3.3333333333333335,0.1259259259259259,17.6,1.8,36.69,0.1800899517897004,0.6694573,0.051544124926056825,0.056188581348697,0.6444444444444445,50,21,19,2.28515625,0.06666666666666667,0.2,0.06666666666666667,0.33822283148765564,6.5,7.0,6.5,6.0,6.0
